country,director,genres,id_IMDb,name,rating_IMDb,year
Великобритания,Кейт Бартлетт,научно-популярный фильм,0283245,Баллада о Большом Але,8.1,2000
country,director,genres,id_IMDb,name,rating_IMDb,year
СССР,Борис Эпштейн,игровое кино,unknown,«Чудотворец» из Бирюлёва,unknown,1958
СССР,Лидия Сурикова,сказка,unknown,"Бим, Бам, Бом и волк",unknown,1974
СССР,Дмитрий Бабиченко,"пропаганда,военный фильм,фильм-плакат",unknown,Били! Бьём! Будем бить!,unknown,1941
Чехословакия,Збынек Брыных,"драма,военный,арт-хаус",0123368,…а пятый всадник — Страх,7.2,1965
США,Лейф Тильден,"драма,мелодрама",2184233,1 миля до тебя,6.3,2017
Россия,Сергей Соловьёв,драма,2719860,2-Асса-2,4.7,2008
Бразилия,Марко Фиорито,"порнофильм,ЛГБТ-фильм",1765847,2 Girls 1 Cup,4.2,2007
Австралия,"Мулари К,Теллури",драматический фильм,0472582,2:37,6.8,2006
СССР,"Аркадий Кольцатый,Валентин Перов","драма,приключения",0191415,«SOS» над тайгой,5.1,1976
Канада,Манон Брайан,комедия,0158446,2 секунды,6.6,1998
"Франция,Великобритания",Хьюго Желен,"драма,семейный",5078204,,7.3,2016
"США,Дания,Великобритания,Тайвань","Тери Шекспир,Дэвид Молина","боевик,приключения,фэнтези",0369281,Бионикл: Маска света,5.5,2003
США,Нил Бёргер,комедийная драма,1987680,1+1: Голливудская история,7.0,"2017,2019"
Франция,Жан-Луи Гийерму,комедия,0417603,2 дурня в снегу,3.8,1977
"Франция,Германия",Жюли Дельпи,"комедия,драма,мелодрама",0841044,2 дня в Париже,6.7,2007
"США,Австралия","Пол Карри,англ,рус",триллер,1131724,2:22,5.7,2017
США,"Энтони Хайнс,Каспер Кристенсен","комедия,фантастика,мелодрамма",12579470,(Не)идеальные роботы,5.5,2023
Индия,Раджкумар Хирани,"комедия,драма",1187043,3 идиота,8.4,2009
СССР,Петерис Крыловс,unknown,unknown,И капли росы на рассвете,unknown,1977
Индонезия,Ханун Брамантйо,драматический фильм,1979169,? (фильм),7.0,2011
Великобритания,Питер Гринуэй,"документальный,музыкальный",0085562,4 американских композитора,7.4,1983
США,"Тери Шекспир,Дэвид Молина","боевик,приключения,фэнтези",0471588,Бионикл 3: В паутине теней,5.7,2005
Австралия,Стив МакКаллум,криминальный,6301712,1 % (фильм),5.3,2017
Россия,Сергей Сенцов,"чёрная комедия,детектив",21426704,1703 (сериал),7.3,2022
СССР,Амасий Мартиросян,комедия,0360321,01-99,7.7,1959
"Ирландия,Италия,Франция,Канада,Великобритания,Испания,Германия",Киаран Доннелли,"исторический,драма",1695366,«Титаник»: Кровь и сталь,7.2,2012
США,"Тери Шекспир,Дэвид Молина","боевик,приключения,фэнтези",0387658,Бионикл 2: Легенды Метру Нуи,5.9,2004
СССР,"Борис Аблынин,Сергей Олифиренко",сказка,6005944,Бибигон (мультфильм),5.7,1981
США,"Айветт Каплан,Майк Джадж","комедия,роуд-муви",0115641,Бивис и Баттхед уделывают Америку,6.8,1996
Польша,Анджей Кондратюк,"криминальная,комедия",0172577,Гидрозагадка,7.1,1971
Россия,Максим Свешников,драмеди,11477416,"257 причин, чтобы жить",7.2,"2020,2021"
ГДР,Руди Курц,военный,0080191,Архив смерти,7.3,"1979,1980"
США,Джеймс Уиддоус и др,"ситком,комедия положений",0312081,8 простых правил,7.0,"2002,2005"
СССР,Борис Дуров,киноповесть,0069474,"Вот моя деревня (фильм, 1972)",6.6,1972
"США,Канада","Скотт Макгиннис ,Шон Эстин ,Кристофер Коппола ,Гилберт М,Шилтон ,Джонатан Уинфри",комедия,0218744,100 подвигов Эдди Макдауда,7.0,"1999,2002"
СССР,"Михаил Жаров,Виталий Иванов","детективный фильм,комедия",0077029,И снова Анискин,6.3,1978
СССР,Владимир Семаков,"исторический фильм,драма",5497990,Главный конструктор (фильм),6.4,1980
СССР,Георгий Кузнецов,"исторический фильм,биография",5638488,Иван Бабушкин (фильм),None,1985
СССР,Евгений Татарский,детективный фильм,0076958,Золотая мина,7.0,1977
США,unknown,исторический документальный фильм,0111868,500 наций,8.5,1995
СССР,"Карен Геворкян,Владимир Македонский",биографический,0308422,Иван Павлов. Поиски истины,6.3,1984
США,Джессика Шарзер,драма,0378793,"Говори (фильм, 2004)",7.2,2004
СССР,Игорь Шатров,детектив,0243982,И это всё о нём (фильм),6.9,1978
СССР,Виталий Дудин,драма,3596270,"Иван (фильм, 1982)",7.1,1982
СССР,"Гига Лордкипанидзе,Амиран Дарсавелидзе",драма,0781028,Здравствуйте все!,7.8,1980
СССР,Виктор Абросимович Титов,"эксцентрическая комедия,музыкальный фильм,экранизация,мелодрама",0073927,"Здравствуйте, я ваша тётя!",7.5,1975
СССР,Михаил Якжен,драма,0103318,Записки юного врача (фильм),6.4,1991
СССР,Андрей Ростоцкий,"приключенческий фильм,исторический фильм",2930848,Зверобой (фильм),6.6,1990
СССР,Александр Павловский,"Приключенческий фильм,детектив",0086638,"Зелёный фургон (фильм, 1983)",7.4,1983
СССР,Александр Прошкин,"комедия,музыкальный фильм,экранизация",6087340,Записки Пиквикского клуба (телеспектакль),6.3,1972
СССР,"Н,Александрович","приключения,комедия,музыкальный",3084568,"Завтрак на траве (фильм, 1979)",6.9,1979
СССР,Павел Чухрай,драма,0308847,Запомните меня такой,7.8,1987
СССР,Анатолий Тютюнник,детектив,5668120,Звездочёт (фильм),6.0,1986
СССР,Анатолий Ниточкин,Драма,0267140,Земля моего детства,6.8,1986
СССР,Виталий Четвериков,драма,5244984,Затишье (фильм),7.1,1981
СССР,Борис Галантер,"драма,биографический",0082542,И с вами снова я...,6.5,1981
СССР,Амиран Дарсавелидзе,комедия,0826620,Запасное колесо (фильм),7.5,1978
СССР,Семён Туманов,драма,0061211,Заблудший (фильм),7.1,1966
СССР,Вия Бейнерте,комедия,4575526,Забытые вещи,None,1982
СССР,Алексей Салтыков,драма,0175344,За всё заплачено,7.5,1988
СССР,Ион Мижа,музыкальный фильм,unknown,Днестровские мелодии,unknown,unknown
СССР,Владимир Алеников,"комедия,мелодрама",0080171,Жил-был настройщик,5.9,1980
unknown,unknown,unknown,unknown,"Дети солнца (фильм, 1985)",unknown,unknown
СССР,Виктор Титов,"драма,история",0090552,Жизнь Клима Самгина (телесериал),7.8,1988
СССР,Виктор Туров,драматический фильм,3069756,Жизнь и смерть дворянина Чертопханова,6.0,1971
СССР,Михаил Григорьев,комедия,0275098,Жили три холостяка,6.4,1973
СССР,Айварс Фрейманис,"фильм-биография,драма",8777936,"Жизнь (фильм, 1989)",7.7,1989
СССР,Сурен Шахбазян,драма,2454220,Жду и надеюсь,7.0,1980
СССР,Ольгерд Воронцов,мелодрама,2844020,За синими ночами,5.5,"1982,1983"
СССР,Ольгерт Дункерс,"социальная ,драма",0207845,Жаворонки (фильм),6.7,1980
СССР,Георгий Бзаров,unknown,unknown,Девушка из легенды,unknown,1980
СССР,Михаил Козаков,фантастическая комедия,0086620,Если верить Лопотухину…,5.9,1983
СССР,Александр Белинский,"музыкальный фильм,фильм-балет,экранизация",0081802,"Жиголо и Жиголетта (фильм, 1980)",None,1980
СССР,Михаил Никитин,трагикомедия,0082297,Други игрищ и забав,5.9,1981
"СССР,Таджикская ССР","Анвар Тураев,Федор Глущенко",мелодрама,5581626,"Если любишь… (фильм, 1982)",None,1982
СССР,Михаил Григорьев,"Комедия нравов,Музыкальный фильм",0077477,Дуэнья (фильм),6.8,1978
СССР,Борис Савченко,мелодрама,5581738,Ещё до войны (фильм),5.6,1982
СССР,Александр Белинский,телевизионный балет,0098706,"Женитьба Бальзаминова (фильм, 1989)",7.0,1989
СССР,Питер Джеймс,комедия,unknown,"Двенадцатая ночь (спектакль, 1975)",unknown,"1975,1978"
СССР,Алты Артыков,unknown,unknown,Двое в пустыне,unknown,1968
"СССР,Великобритания",Андрей Некрасов,"фильм-биография,драма,мелодрама,экранизация",0282832,Другая драма,5.9,1990
СССР,Светлана Дружинина,"драма,мюзикл",0080666,Дульсинея Тобосская (фильм),6.3,1980
СССР,Леонид Попов,"мелодрама,приключенческий фильм",4842572,"Дорога (фильм, 1975)",6.0,1975
СССР,Сергей Колосов,"исторический фильм,драма",1728238,Дороги Анны Фирлинг,7.8,1986
"СССР,Таджикская ССР","Валерий Ахадов,Сайдо Курбанов",детектив,0266481,Дополнительный прибывает на второй путь,6.2,1986
СССР,Анатолий Ниточкин,"приключенческий фильм,драма",0422141,Друг Тыманчи,7.6,1970
СССР,Сергей Колосов,драма,5048460,Душечка (фильм),7.4,1966
СССР,Марк Захаров,"Сатирическая,комедия",0085452,"Дом, который построил Свифт",7.3,1982
СССР,Вадим Зобин,драма,0073983,Дни хирурга Мишкина,6.9,1976
СССР,Ян Фрид,музыкальный фильм,0309526,"Дон Сезар де Базан (фильм, 1989)",7.0,1989
СССР,Василий Левин,приключения,5545572,Долгий путь в лабиринте (фильм),6.2,1981
СССР,Евгений Татарский,комедия,0167910,Джек Восьмёркин — «американец»,6.5,1986
СССР,Сергей Колосов,политический триллер,4870744,Диалог (фильм),7.1,1977
СССР,Владимир Басов,драма,0167123,"Дни Турбиных (фильм, 1976)",7.7,1976
СССР,Инесса Селезнёва,мелодрама,0127518,Дневной поезд,7.3,1976
СССР,Валерий Харченко,"детектив,драма",1633985,Документ Р,7.1,1985
СССР,Юрий Ляшенко,мелодрама,4903590,"День первый, день последний",None,1978
СССР,Владимир Бортко,комедия,unknown,"Голос (фильм, 1986)",unknown,1986
СССР,Аян Шахмалиева,Мелодрама,0166165,Дети как дети,7.5,1978
СССР,Алоиз Бренч,драма,0174599,Долгая дорога в дюнах,7.9,1982
СССР,Александр Карпов,Драма,0325272,Долгие вёрсты войны,7.7,1975
unknown,unknown,unknown,unknown,"Гамлет (фильм-балет, 1969)",unknown,unknown
СССР,Леонид Пчёлкин,"историческая ,драма,биографический фильм",0101079,Дело Сухово-Кобылина (фильм),6.3,1991
СССР,"Анатолий Ниточкин,Александра Ремизова",комедия,6190266,"Дамы и гусары (фильм, 1976)",7.4,1976
СССР,Вячеслав Криштофович,драма,2940086,Два гусара (фильм),6.7,1984
СССР,Евгений Карелов,приключенческий фильм,0287213,"Два капитана (фильм, 1976)",7.5,1976
СССР,Владимир Кочетов,unknown,2396449,День без числа,None,1966
СССР,Юрий Сергеев,фильм-спектакль,5953540,Двадцать лет спустя (телеспектакль),None,1971
СССР,Ион Мижа,unknown,unknown,"Встреча (фильм, 1978)",unknown,1978
СССР,Анатолий Граник,сказка,0383331,Двенадцать месяцев (фильм),7.0,"1972,1973"
СССР,Геннадий Иванов,историко-приключенческий,1542808,Государственная граница. Солёный ветер,6.8,1988
СССР,Олег Бийма,"драма,экранизация",0176788,"Грех (фильм, 1991)",6.8,1991
СССР,Владимир Храмов,"детский,музыкальный фильм,комедия",1508257,Денискины рассказы (фильм),7.0,1970
СССР,Борис Степанов,историко-приключенческий,0877519,Государственная граница. Мирное лето 21-го года,7.4,1980
СССР,Искандер Хамраев,драма,0174715,Грядущему веку,5.5,1985
СССР,Борис Степанов,историко-приключенческий,2693746,Государственная граница. Красный песок,6.7,1984
СССР,Борис Степанов,историко-приключенческий,0193199,"Государственная граница. Мы наш, мы новый…",7.4,1980
СССР,Вячеслав Никифоров,"историко-приключенческий,драма",2693808,Государственная граница. Год сорок первый,7.1,1986
СССР,Виктор Туров,комедия,4718892,Горя бояться — счастья не видать,6.7,1973
СССР,Борис Степанов,"историко,приключенческий фильм",2693872,Государственная граница. За порогом победы,6.6,1987
